timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,vel_x,vel_y,vel_z,bg_x,bg_y,bg_z,ba_x,ba_y,ba_z,grav_x,grav_y,grav_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_rot_x,delta_rot_y,delta_rot_z,P_d0,P_d1,P_d2,P_d3,P_d4,P_d5,P_d6,P_d7,P_d8,P_d9,P_d10,P_d11,P_d12,P_d13,P_d14,P_d15,P_d16,P_d17,P_d18,P_d19,P_d20,P_d21,P_d22,effct_feat_num,feats_down_size,res_mean,icp_time,kdtree_size,global_match,wall_time,kdtree_incre_time,rebuild_active,rebuild_queue,safe_blocked,time_imu,time_ds,time_ekf,time_map,time_pub,buf_lidar,buf_imu
3.496555,0.014039,0.000928,-0.011385,-0.003700,0.006297,0.000278,0.096600,0.029790,-0.029312,0.017635,-0.003550,-0.018283,-0.083423,-0.024865,0.034737,1.071638,0.064991,-9.750069,0.003893,-0.000004,-0.002421,-0.000037,-0.000877,-0.000155,0.0000144385,0.0000139627,0.0000164425,0.0000078086,0.0000078336,0.0000100283,0.0000077922,0.0000077958,0.0000099797,0.0000099992,0.0000099996,0.0000099989,0.0001846228,0.0001782303,0.0001765751,0.0001125128,0.0001124963,0.0001146231,0.0008012679,0.0007986567,0.0005239824,0.0000077734,0.0000077594,728,980,0.03412693,0.009396,4934.000000,0,846.063513,0.001209,0,0,0,0.0008,0.0009,0.0094,0.0013,0.0003,-0.0036,103,1201849844
3.596503,0.012541,0.005723,-0.008344,-0.002984,0.004580,-0.000124,0.068001,0.044779,-0.014950,0.017488,-0.003164,-0.018224,-0.062441,-0.027350,0.020604,1.054663,0.067363,-9.751904,-0.001498,0.004795,0.003041,0.000716,-0.001717,-0.000403,0.0000151504,0.0000139895,0.0000162160,0.0000076666,0.0000076964,0.0000100231,0.0000076459,0.0000076653,0.0000099784,0.0000099992,0.0000099996,0.0000099989,0.0001915763,0.0001700988,0.0001731647,0.0001100806,0.0001100649,0.0001121036,0.0007848008,0.0007804777,0.0004836181,0.0000076408,0.0000076098,666,928,0.03595006,0.012332,5162.000000,0,846.116657,0.001678,0,0,0,0.0009,0.0011,0.0123,0.0017,0.0003,-0.0032,93,946012956
3.696476,0.016177,0.003274,-0.014815,-0.000705,0.003545,0.001094,0.064174,0.017013,-0.035980,0.017016,-0.002923,-0.018502,-0.056040,-0.015528,0.033364,1.047710,0.056755,-9.752721,0.003636,-0.002450,-0.006471,0.002276,-0.001037,0.001221,0.0000146625,0.0000139427,0.0000159323,0.0000075574,0.0000075624,0.0000100246,0.0000075299,0.0000075282,0.0000099775,0.0000099991,0.0000099996,0.0000099989,0.0001704999,0.0001622322,0.0001693060,0.0001078363,0.0001078202,0.0001097797,0.0007672763,0.0007660939,0.0004445666,0.0000075029,0.0000074915,671,900,0.03310960,0.015817,5331.000000,0,846.171061,0.001993,0,0,0,0.0016,0.0020,0.0158,0.0021,0.0004,-0.0029,84,-973078646
3.794583,0.015659,0.001736,-0.008844,-0.002433,0.004033,-0.000390,0.051192,0.008802,-0.005061,0.017387,-0.003027,-0.018207,-0.044647,-0.010468,0.010624,1.040104,0.052496,-9.753559,-0.000518,-0.001537,0.005970,-0.001725,0.000489,-0.001487,0.0000149378,0.0000139605,0.0000159092,0.0000074621,0.0000074806,0.0000100267,0.0000074390,0.0000074398,0.0000099767,0.0000099991,0.0000099996,0.0000099989,0.0001716361,0.0001569865,0.0001677449,0.0001056528,0.0001056380,0.0001075200,0.0007556949,0.0007548410,0.0004089593,0.0000074148,0.0000073989,659,937,0.03543605,0.007634,5511.000000,0,846.211580,0.002200,0,0,0,0.0006,0.0008,0.0076,0.0023,0.0004,-0.0030,74,-1315009785
3.895796,0.014379,-0.002614,-0.012207,-0.001455,0.000571,0.000691,0.033576,-0.011911,-0.018200,0.017170,-0.002290,-0.018445,-0.035623,-0.003235,0.016950,1.031558,0.046057,-9.754499,-0.001279,-0.004350,-0.003363,0.000976,-0.003463,0.001079,0.0000148736,0.0000138663,0.0000161575,0.0000073934,0.0000073973,0.0000100270,0.0000073663,0.0000073615,0.0000099760,0.0000099991,0.0000099995,0.0000099988,0.0001627353,0.0001495376,0.0001666438,0.0001034888,0.0001034739,0.0001052806,0.0007455378,0.0007458649,0.0003779240,0.0000073372,0.0000073250,690,954,0.03513356,0.008178,5656.000000,0,846.262118,0.001395,0,0,0,0.0006,0.0008,0.0082,0.0014,0.0003,-0.0023,63,1486557424
3.996414,0.010029,-0.005132,-0.012886,-0.000410,0.001009,0.000315,0.011534,-0.018254,-0.018906,0.016982,-0.002363,-0.018386,-0.026256,-0.001593,0.014122,1.023638,0.044655,-9.755340,-0.004350,-0.002518,-0.000678,0.001045,0.000438,-0.000375,0.0000147160,0.0000136381,0.0000161815,0.0000073433,0.0000073410,0.0000100228,0.0000073095,0.0000073013,0.0000099753,0.0000099990,0.0000099995,0.0000099988,0.0001556195,0.0001421463,0.0001620583,0.0001014367,0.0001014222,0.0001031578,0.0007377171,0.0007388867,0.0003501556,0.0000072779,0.0000072676,693,959,0.03587880,0.007901,5801.000000,0,846.311818,0.001329,0,0,0,0.0006,0.0008,0.0079,0.0014,0.0003,-0.0024,53,946334479
4.096571,0.007520,-0.000748,-0.013408,-0.000777,0.001579,0.000353,0.005191,0.010285,-0.016048,0.017054,-0.002445,-0.018418,-0.022222,-0.007993,0.011277,1.020350,0.050354,-9.755656,-0.002509,0.004384,-0.000523,-0.000367,0.000570,0.000038,0.0000146473,0.0000138648,0.0000163559,0.0000073137,0.0000073138,0.0000100214,0.0000072686,0.0000072548,0.0000099748,0.0000099990,0.0000099995,0.0000099988,0.0001528905,0.0001450479,0.0001619338,0.0000994875,0.0000994737,0.0001011419,0.0007315825,0.0007338849,0.0003272523,0.0000072325,0.0000072265,636,921,0.03200167,0.008820,5895.000000,0,846.362794,0.001420,0,0,0,0.0006,0.0008,0.0088,0.0015,0.0003,-0.0024,43,1460392816
4.196370,0.005691,0.005261,-0.012272,-0.002325,0.002063,-0.000303,0.003371,0.031533,-0.005619,0.017332,-0.002524,-0.018322,-0.019728,-0.012730,0.006381,1.018590,0.054568,-9.755818,-0.001829,0.006009,0.001136,-0.001548,0.000484,-0.000656,0.0000142671,0.0000136007,0.0000161739,0.0000072564,0.0000072620,0.0000100189,0.0000072291,0.0000072131,0.0000099743,0.0000099990,0.0000099995,0.0000099987,0.0001455463,0.0001376333,0.0001567575,0.0000976013,0.0000975882,0.0000991933,0.0007262342,0.0007290900,0.0003060893,0.0000071920,0.0000071869,726,979,0.03364451,0.008758,6058.000000,0,846.412719,0.001422,0,0,0,0.0006,0.0008,0.0088,0.0015,0.0003,-0.0025,33,-1571065805
4.296469,0.006965,0.006001,-0.012018,-0.001468,0.000325,-0.000006,0.011824,0.025673,-0.004417,0.017188,-0.002191,-0.018405,-0.020132,-0.010403,0.004936,1.019075,0.052506,-9.755778,0.001274,0.000741,0.000254,0.000857,-0.001738,0.000295,0.0000147952,0.0000134756,0.0000161624,0.0000072361,0.0000072360,0.0000100146,0.0000071977,0.0000071847,0.0000099738,0.0000099990,0.0000099995,0.0000099986,0.0001540565,0.0001354307,0.0001559125,0.0000957985,0.0000957856,0.0000973305,0.0007225955,0.0007253162,0.0002886857,0.0000071644,0.0000071558,663,921,0.03602547,0.015830,6185.000000,0,846.470817,0.001607,0,0,0,0.0014,0.0017,0.0158,0.0017,0.0004,-0.0022,23,-306700010
4.396557,0.005749,0.000153,-0.007641,-0.001541,0.000981,0.000392,0.008057,-0.005023,0.009112,0.017216,-0.002311,-0.018495,-0.017492,-0.003012,-0.002445,1.017388,0.045974,-9.755987,-0.001216,-0.005848,0.004377,-0.000073,0.000656,0.000399,0.0000143740,0.0000138033,0.0000160993,0.0000072274,0.0000072000,0.0000100192,0.0000071734,0.0000071527,0.0000099733,0.0000099990,0.0000099995,0.0000099986,0.0001433328,0.0001405899,0.0001545551,0.0000940733,0.0000940600,0.0000955488,0.0007185684,0.0007223865,0.0002732049,0.0000071334,0.0000071315,670,939,0.03468961,0.007932,6316.000000,0,846.511894,0.002612,0,0,0,0.0006,0.0008,0.0079,0.0027,0.0004,-0.0023,13,57359523
